price,charges,surface,disposition,address,district
11000,1000,16,GARSONIERA,"Pod Kavalírkou, Praha - Košíře",Praha-Košíře
24000,4700,65,DISP_2_1,"Gdaňská, Praha - Bohnice",Praha-Bohnice
20500,4000,58,DISP_2_1,"Na Pěšinách, Praha - Kobylisy",Praha-Kobylisy
24000,4500,57,DISP_2_KK,"Novákových, Praha - Libeň",Praha-Libeň
22000,4500,57,DISP_2_1,"Plzeňská, Praha - Smíchov",Praha-Smíchov
50668,8941,18,UNDEFINED,"Svornosti, Praha - Smíchov",Praha-Smíchov
21500,4100,53,DISP_2_KK,"Škrábkových, Praha - Letňany",Praha-Letňany
19990,0,54,DISP_2_1,"Kamerunská, Praha - Vokovice",Praha-Vokovice
21900,2000,24,DISP_1_KK,"Staropramenná, Praha - Smíchov",Praha-Smíchov
22000,4078,43,DISP_1_KK,"Šrámkové, Praha - Žižkov",Praha-Žižkov
17990,0,57,DISP_2_1,"Chlebovická, Praha - Letňany",Praha-Letňany
26000,5000,65,DISP_2_1,"Na Malovance, Praha - Střešovice",Praha-Střešovice
35000,4800,107,DISP_3_1,"Sázavská, Praha - Vinohrady",Praha-Vinohrady
19000,7000,50,DISP_2_1,"Na Výtoni, Praha - Nové Město",Praha-Nové Město
18500,3700,37,DISP_2_KK,"Vysočanská, Praha - Prosek",Praha-Prosek
47936,8459,45,UNDEFINED,"Dlážděná, Praha - Nové Město",Praha-Nové Město
21000,4063,44,DISP_2_KK,"Fabiánové, Praha - Hlubočepy",Praha-Hlubočepy
25500,5500,73,DISP_2_KK,"Dělnická, Praha - Holešovice",Praha-Holešovice
25000,3501,55,DISP_2_1,"Tejnická, Praha - Strašnice",Praha-Strašnice
20500,2990,34,DISP_1_KK,"Poděbradská, Praha - Hloubětín",Praha-Hloubětín
17500,3400,39,DISP_1_1,"Na Plzeňce, Praha - Smíchov",Praha-Smíchov
20500,3833,29,DISP_2_KK,"Na Obrátce, Praha - Hloubětín",Praha-Hloubětín
18580,4410,49,DISP_1_1,"Františka Kadlece, Praha - Libeň",Praha-Libeň
20900,4774,37,DISP_1_KK,"Olšanská, Praha - Žižkov",Praha-Žižkov
16000,5300,35,DISP_1_KK,"Freyova, Praha - Vysočany",Praha-Vysočany
20990,0,44,DISP_2_KK,"Janského, Praha - Stodůlky",Praha-Stodůlky
18500,3300,20,DISP_1_KK,"Jana Zajíce, Praha - Bubeneč",Praha-Bubeneč
28429,5017,35,UNDEFINED,"Kodymova, Praha - Stodůlky",Praha-Stodůlky
