zone,district,disposition_clean,avg_rent,avg_m2_price,count
outer_or_suburbs,Veleslavín,2+1,27362.5,464.0347789355111,2
outer_or_suburbs,Veleslavín,3+KK,26700.0,494.44444444444446,1
outer_or_suburbs,Veleň,2+1,24800.0,400.0,1
outer_or_suburbs,Velká Chuchle,3+1,18800.0,250.66666666666666,1
outer_or_suburbs,Vestec,2+KK,20000.0,400.0,1
outer_or_suburbs,Vinoř,2+KK,26000.0,433.3333333333333,1
outer_or_suburbs,Vinoř,3+KK,36600.0,366.0,1
outer_or_suburbs,Zadní Kopanina,1+KK,15000.0,500.0,1
outer_or_suburbs,Zbraslav,2+KK,25763.0,503.95977011494256,2
outer_or_suburbs,Zbraslav,3+KK,32250.0,500.7278835386338,2
outer_or_suburbs,Zličín,1+KK,22019.0,524.2619047619048,1
outer_or_suburbs,Zličín,2+KK,31832.0,527.4291208791209,2
outer_or_suburbs,Zličín,3+KK,33500.0,435.2195945945946,2
outer_or_suburbs,Zličín,4+KK,49990.0,290.63953488372096,1
outer_or_suburbs,Záběhlice,1+1,23300.0,466.0,1
outer_or_suburbs,Záběhlice,1+KK,20060.0,556.3597905717471,6
outer_or_suburbs,Záběhlice,2+KK,29235.5,513.678970223325,2
outer_or_suburbs,Záběhlice,3+1,29000.0,381.57894736842104,1
outer_or_suburbs,Záběhlice,3+KK,22990.0,357.53546966731903,2
outer_or_suburbs,Záběhlice,GARSONIERA,14200.0,568.0,1
outer_or_suburbs,Újezd nad Lesy,3+KK,36000.0,428.57142857142856,1
outer_or_suburbs,Újezd u Průhonic,1+KK,26000.0,962.9629629629629,1
outer_or_suburbs,Újezd u Průhonic,3+KK,34500.0,466.2162162162162,1
outer_or_suburbs,Únětice,2+KK,26000.0,393.93939393939394,1
outer_or_suburbs,Čakovice,1+KK,15000.0,535.7142857142857,1
outer_or_suburbs,Čakovice,2+KK,27500.0,458.3333333333333,1
outer_or_suburbs,Čakovice,3+1,29000.0,453.125,1
outer_or_suburbs,Čakovice,3+KK,33000.0,417.72151898734177,1
outer_or_suburbs,Černý Most,2+KK,26199.5,584.3745993158789,4
outer_or_suburbs,Černý Most,3+1,23544.666666666668,298.49355444133926,3
outer_or_suburbs,Čimice,1+1,18850.0,483.3333333333333,1
outer_or_suburbs,Čimice,2+1,24326.0,434.39285714285717,1
outer_or_suburbs,Čimice,2+KK,18000.0,486.4864864864865,1
outer_or_suburbs,Ďáblice,1+KK,17995.0,481.5853658536586,2
outer_or_suburbs,Řeporyje,1+KK,22190.0,616.3888888888889,1
outer_or_suburbs,Řepy,1+KK,19400.0,587.8787878787879,1
outer_or_suburbs,Řepy,2+1,26500.0,368.05555555555554,1
outer_or_suburbs,Řepy,2+KK,27750.0,608.9534254505185,4
outer_or_suburbs,Řepy,3+1,33000.0,362.6373626373626,1
outer_or_suburbs,Řepy,3+KK,24990.0,342.32876712328766,1
outer_or_suburbs,Říčany,1+1,18000.0,428.57142857142856,1
outer_or_suburbs,Říčany,1+KK,23215.0,859.8148148148148,1
outer_or_suburbs,Říčany,2+1,17000.0,425.0,1
outer_or_suburbs,Říčany,2+KK,25600.0,500.7692307692308,2
outer_or_suburbs,Šestajovice,3+1,23990.0,201.5966386554622,1
outer_or_suburbs,Štěrboholy,2+KK,23740.0,431.6363636363636,2
outer_or_suburbs,Štěrboholy,3+KK,43379.0,312.0791366906475,1
